Numéro tarifaire,Position du Système harmonisé (SH),Description indicative
2204.21.32,"Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisin autres que ceux du no 20,09.","Autres vins; moûts de raisin dont la fermentation a été empêchée ou arrêtée par addition d'alcool : En récipients d'une contenance n'excédant pas 2 litresVins, d'un titre alcoométrique volumique excédant 21,9 % vol : D'un titre alcoométrique volumique excédant 22,9 % vol"
2204.21.41,"Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisin autres que ceux du no 20,09.","Autres vins; moûts de raisin dont la fermentation a été empêchée ou arrêtée par addition d'alcool : En récipients d'une contenance n'excédant pas 2 litresMoûts de raisin dont la fermentation a été empêchée ou arrêtée par addition d'alcool : D'un titre alcoométrique n'excédant pas 22,9 % vol"
2204.21.49,"Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisin autres que ceux du no 20,09.",Autres vins; moûts de raisin dont la fermentation a été empêchée ou arrêtée par addition d'alcool : En récipients d'une contenance n'excédant pas 2 litresMoûts de raisin dont la fermentation a été empêchée ou arrêtée par addition d'alcool : Autres
2204.22.10,"Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisin autres que ceux du no 20,09.","Autres vins; moûts de raisin dont la fermentation a été empêchée ou arrêtée par addition d'alcool : En récipients d'une contenance excédant 2 litres mais n'excédant pas 10 litresVins, d'un titre alcoométrique volumique n'excédant pas 13,7 % vol"
2204.22.21,"Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisin autres que ceux du no 20,09.","Autres vins; moûts de raisin dont la fermentation a été empêchée ou arrêtée par addition d'alcool : En récipients d'une contenance excédant 2 litres mais n'excédant pas 10 litresVins, d'un titre alcoométrique volumique excédant 13,7 % vol mais n'excédant pas 21,9 % vol : D'un titre alcoométrique volumique n'excédant pas 14,9 % vol"
2204.22.22,"Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisin autres que ceux du no 20,09.","Autres vins; moûts de raisin dont la fermentation a été empêchée ou arrêtée par addition d'alcool : En récipients d'une contenance excédant 2 litres mais n'excédant pas 10 litresVins, d'un titre alcoométrique volumique excédant 13,7 % vol mais n'excédant pas 21,9 % vol : D'un titre alcoométrique volumique excédant 14,9 % vol mais n'excédant pas 15,9 % vol"
2204.22.23,"Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisin autres que ceux du no 20,09.","Autres vins; moûts de raisin dont la fermentation a été empêchée ou arrêtée par addition d'alcool : En récipients d'une contenance excédant 2 litres mais n'excédant pas 10 litresVins, d'un titre alcoométrique volumique excédant 13,7 % vol mais n'excédant pas 21,9 % vol : D'un titre alcoométrique volumique excédant 15,9 % vol mais n'excédant pas 16,9 % vol"
2204.22.24,"Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisin autres que ceux du no 20,09.","Autres vins; moûts de raisin dont la fermentation a été empêchée ou arrêtée par addition d'alcool : En récipients d'une contenance excédant 2 litres mais n'excédant pas 10 litresVins, d'un titre alcoométrique volumique excédant 13,7 % vol mais n'excédant pas 21,9 % vol : D'un titre alcoométrique volumique excédant 16,9 % vol mais n'excédant pas 17,9 % vol"
2204.22.25,"Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisin autres que ceux du no 20,09.","Autres vins; moûts de raisin dont la fermentation a été empêchée ou arrêtée par addition d'alcool : En récipients d'une contenance excédant 2 litres mais n'excédant pas 10 litresVins, d'un titre alcoométrique volumique excédant 13,7 % vol mais n'excédant pas 21,9 % vol : D'un titre alcoométrique volumique excédant 17,9 % vol mais n'excédant pas 18,9 % vol"
2204.22.26,"Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisin autres que ceux du no 20,09.","Autres vins; moûts de raisin dont la fermentation a été empêchée ou arrêtée par addition d'alcool : En récipients d'une contenance excédant 2 litres mais n'excédant pas 10 litresVins, d'un titre alcoométrique volumique excédant 13,7 % vol mais n'excédant pas 21,9 % vol : D'un titre alcoométrique volumique excédant 18,9 % vol mais n'excédant pas 19,9 % vol"
2204.22.27,"Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisin autres que ceux du no 20,09.","Autres vins; moûts de raisin dont la fermentation a été empêchée ou arrêtée par addition d'alcool : En récipients d'une contenance excédant 2 litres mais n'excédant pas 10 litresVins, d'un titre alcoométrique volumique excédant 13,7 % vol mais n'excédant pas 21,9 % vol : D'un titre alcoométrique volumique excédant 19,9 % vol mais n'excédant pas 20,9 % vol"
2204.22.28,"Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisin autres que ceux du no 20,09.","Autres vins; moûts de raisin dont la fermentation a été empêchée ou arrêtée par addition d'alcool : En récipients d'une contenance excédant 2 litres mais n'excédant pas 10 litresVins, d'un titre alcoométrique volumique excédant 13,7 % vol mais n'excédant pas 21,9 % vol : D'un titre alcoométrique volumique excédant 20,9 % vol mais n'excédant pas 21,9 % vol"
2204.22.31,"Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisin autres que ceux du no 20,09.","Autres vins; moûts de raisin dont la fermentation a été empêchée ou arrêtée par addition d'alcool : En récipients d'une contenance excédant 2 litres mais n'excédant pas 10 litresVins, d'un titre alcoométrique volumique excédant 21,9 % vol : D'un titre alcoométrique volumique excédant 21,9 % vol mais n'excédant pas 22,9 % vol"
2204.22.32,"Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisin autres que ceux du no 20,09.","Autres vins; moûts de raisin dont la fermentation a été empêchée ou arrêtée par addition d'alcool : En récipients d'une contenance excédant 2 litres mais n'excédant pas 10 litresVins, d'un titre alcoométrique volumique excédant 21,9 % vol : D'un titre alcoométrique volumique excédant 22,9 % vol"
2204.22.41,"Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisin autres que ceux du no 20,09.","Autres vins; moûts de raisin dont la fermentation a été empêchée ou arrêtée par addition d'alcool : En récipients d'une contenance excédant 2 litres mais n'excédant pas 10 litresMoûts de raisin dont la fermentation a été empêchée ou arrêtée par addition d'alcool : D'un titre alcoométrique volumique n'excédant pas 22,9 % vol"
2204.22.49,"Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisin autres que ceux du no 20,09.",Autres vins; moûts de raisin dont la fermentation a été empêchée ou arrêtée par addition d'alcool : En récipients d'une contenance excédant 2 litres mais n'excédant pas 10 litresMoûts de raisin dont la fermentation a été empêchée ou arrêtée par addition d'alcool : Autres
2204.29.10,"Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisin autres que ceux du no 20,09.","Autres vins; moûts de raisin dont la fermentation a été empêchée ou arrêtée par addition d'alcool : AutresVins, d'un titre alcoométrique volumique n'excédant pas 13,7 % vol"
2204.29.21,"Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisin autres que ceux du no 20,09.","Autres vins; moûts de raisin dont la fermentation a été empêchée ou arrêtée par addition d'alcool : AutresVins, d'un titre alcoométrique volumique excédant 13,7 % vol mais n'excédant pas 21,9 % vol : D'un titre alcoométrique volumique n'excédant pas 14,9 % vol"
2204.29.22,"Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisin autres que ceux du no 20,09.","Autres vins; moûts de raisin dont la fermentation a été empêchée ou arrêtée par addition d'alcool : AutresVins, d'un titre alcoométrique volumique excédant 13,7 % vol mais n'excédant pas 21,9 % vol : D'un titre alcoométrique volumique excédant 14,9 % vol mais n'excédant pas 15,9 % vol"
2204.29.23,"Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisin autres que ceux du no 20,09.","Autres vins; moûts de raisin dont la fermentation a été empêchée ou arrêtée par addition d'alcool : AutresVins, d'un titre alcoométrique volumique excédant 13,7 % vol mais n'excédant pas 21,9 % vol : D'un titre alcoométrique volumique excédant 15,9 % vol mais n'excédant pas 16,9 % vol"
2204.29.24,"Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisin autres que ceux du no 20,09.","Autres vins; moûts de raisin dont la fermentation a été empêchée ou arrêtée par addition d'alcool : AutresVins, d'un titre alcoométrique volumique excédant 13,7 % vol mais n'excédant pas 21,9 % vol : D'un titre alcoométrique volumique excédant 16,9 % vol mais n'excédant pas 17,9 % vol"
2204.29.25,"Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisin autres que ceux du no 20,09.","Autres vins; moûts de raisin dont la fermentation a été empêchée ou arrêtée par addition d'alcool : AutresVins, d'un titre alcoométrique volumique excédant 13,7 % vol mais n'excédant pas 21,9 % vol : D'un titre alcoométrique volumique excédant 17,9 % vol mais n'excédant pas 18,9 % vol"
2204.29.26,"Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisin autres que ceux du no 20,09.","Autres vins; moûts de raisin dont la fermentation a été empêchée ou arrêtée par addition d'alcool : AutresVins, d'un titre alcoométrique volumique excédant 13,7 % vol mais n'excédant pas 21,9 % vol : D'un titre alcoométrique volumique excédant 18,9 % vol mais n'excédant pas 19,9 % vol"
2204.29.27,"Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisin autres que ceux du no 20,09.","Autres vins; moûts de raisin dont la fermentation a été empêchée ou arrêtée par addition d'alcool : AutresVins, d'un titre alcoométrique volumique excédant 13,7 % vol mais n'excédant pas 21,9 % vol : D'un titre alcoométrique volumique excédant 19,9 % vol mais n'excédant pas 20,9 % vol"
2204.29.28,"Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisin autres que ceux du no 20,09.","Autres vins; moûts de raisin dont la fermentation a été empêchée ou arrêtée par addition d'alcool : AutresVins, d'un titre alcoométrique volumique excédant 13,7 % vol mais n'excédant pas 21,9 % vol : D'un titre alcoométrique volumique excédant 20,9 % vol mais n'excédant pas 21,9 % vol"
2204.29.31,"Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisin autres que ceux du no 20,09.","Autres vins; moûts de raisin dont la fermentation a été empêchée ou arrêtée par addition d'alcool : AutresVins, d'un titre alcoométrique volumique excédant 21,9 % vol : D'un titre alcoométrique volumique excédant 21,9 % vol mais n'excédant pas 22,9 % vol"
2204.29.32,"Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisin autres que ceux du no 20,09.","Autres vins; moûts de raisin dont la fermentation a été empêchée ou arrêtée par addition d'alcool : AutresVins, d'un titre alcoométrique volumique excédant 21,9 % vol : D'un titre alcoométrique volumique excédant 22,9 % vol"
2204.29.41,"Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisin autres que ceux du no 20,09.","Autres vins; moûts de raisin dont la fermentation a été empêchée ou arrêtée par addition d'alcool : AutresMoûts de raisin dont la fermentation a été empêchée ou arrêtée par addition d'alcool : D'un titre alcoométrique volumique n'excédant pas 22,9 % vol"
2204.29.49,"Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisin autres que ceux du no 20,09.",Autres vins; moûts de raisin dont la fermentation a été empêchée ou arrêtée par addition d'alcool : AutresMoûts de raisin dont la fermentation a été empêchée ou arrêtée par addition d'alcool : Autres
2204.30.10,"Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisin autres que ceux du no 20,09.","Autres moûts de raisinD'un titre alcoométrique volumique n'excédant pas 22,9 % vol"
2204.30.90,"Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisin autres que ceux du no 20,09.",Autres moûts de raisinAutres
2205.10.10,Vermouths et autres vins de raisins frais préparés à l'aide de plantes ou de substances aromatiques.,"En récipients d'une contenance n'excédant pas 2 litresD'un titre alcoométrique volumique n'excédant pas 18,3 % vol"
2205.10.20,Vermouths et autres vins de raisins frais préparés à l'aide de plantes ou de substances aromatiques.,"En récipients d'une contenance n'excédant pas 2 litresD'un titre alcoométrique volumique excédant 18,3 % vol mais n'excédant pas 22,9 % vol"
2205.10.30,Vermouths et autres vins de raisins frais préparés à l'aide de plantes ou de substances aromatiques.,"En récipients d'une contenance n'excédant pas 2 litresD'un titre alcoométrique volumique excédant 22,9 % vol"
2205.90.10,Vermouths et autres vins de raisins frais préparés à l'aide de plantes ou de substances aromatiques.,"AutresD'un titre alcoométrique volumique n'excédant pas 18,3 % vol"
2205.90.20,Vermouths et autres vins de raisins frais préparés à l'aide de plantes ou de substances aromatiques.,"AutresD'un titre alcoométrique volumique excédant 18,3 % vol mais n'excédant pas 22,9 % vol"
2205.90.30,Vermouths et autres vins de raisins frais préparés à l'aide de plantes ou de substances aromatiques.,"AutresD'un titre alcoométrique volumique excédant 22,9 % vol"
2206.00.11,"Autres boissons fermentées (cidre, poiré, hydromel, saké, par exemple); mélanges de boissons fermentées et mélanges de boissons fermentées et de boissons non alcooliques, non dénommés ni compris ailleurs.","Cidre : Mousseux, d'un titre alcoométrique volumique n'excédant pas 22,9 % vol"
2206.00.12,"Autres boissons fermentées (cidre, poiré, hydromel, saké, par exemple); mélanges de boissons fermentées et mélanges de boissons fermentées et de boissons non alcooliques, non dénommés ni compris ailleurs.",Cidre : Autres mousseux
2206.00.18,"Autres boissons fermentées (cidre, poiré, hydromel, saké, par exemple); mélanges de boissons fermentées et mélanges de boissons fermentées et de boissons non alcooliques, non dénommés ni compris ailleurs.","Cidre : Autres cidres, d'un titre alcoométrique volumique n'excédant pas  22,9 % vol"
2206.00.19,"Autres boissons fermentées (cidre, poiré, hydromel, saké, par exemple); mélanges de boissons fermentées et mélanges de boissons fermentées et de boissons non alcooliques, non dénommés ni compris ailleurs.",Cidre : Autres
2206.00.21,"Autres boissons fermentées (cidre, poiré, hydromel, saké, par exemple); mélanges de boissons fermentées et mélanges de boissons fermentées et de boissons non alcooliques, non dénommés ni compris ailleurs.","Vin de pruneaux : D'un titre alcoométrique volumique n'excédant pas 22,9 % vol"
2206.00.22,"Autres boissons fermentées (cidre, poiré, hydromel, saké, par exemple); mélanges de boissons fermentées et mélanges de boissons fermentées et de boissons non alcooliques, non dénommés ni compris ailleurs.","Vin de pruneaux : D'un titre alcoométrique volumique excédant 22,9 % vol"
2206.00.31,"Autres boissons fermentées (cidre, poiré, hydromel, saké, par exemple); mélanges de boissons fermentées et mélanges de boissons fermentées et de boissons non alcooliques, non dénommés ni compris ailleurs.","Poiré, mousseux : D'un titre alcoométrique volumique n'excédant pas 22,9 % vol"
2206.00.39,"Autres boissons fermentées (cidre, poiré, hydromel, saké, par exemple); mélanges de boissons fermentées et mélanges de boissons fermentées et de boissons non alcooliques, non dénommés ni compris ailleurs.","Poiré, mousseux : Autres"
2206.00.41,"Autres boissons fermentées (cidre, poiré, hydromel, saké, par exemple); mélanges de boissons fermentées et mélanges de boissons fermentées et de boissons non alcooliques, non dénommés ni compris ailleurs.","Autre vins, mousseux : D'un titre alcoométrique volumique n'excédant pas 22,9 % vol"
2206.00.49,"Autres boissons fermentées (cidre, poiré, hydromel, saké, par exemple); mélanges de boissons fermentées et mélanges de boissons fermentées et de boissons non alcooliques, non dénommés ni compris ailleurs.","Autre vins, mousseux : Autres"
2206.00.50,"Autres boissons fermentées (cidre, poiré, hydromel, saké, par exemple); mélanges de boissons fermentées et mélanges de boissons fermentées et de boissons non alcooliques, non dénommés ni compris ailleurs.","Saké et autres vins, non mousseux, d'un titre alcoométrique volumique n'excédant pas 13,7 % vol"
2206.00.61,"Autres boissons fermentées (cidre, poiré, hydromel, saké, par exemple); mélanges de boissons fermentées et mélanges de boissons fermentées et de boissons non alcooliques, non dénommés ni compris ailleurs.","Saké et autres vins, non mousseux, d'un titre alcoométrique volumique excédant 13,7 % vol mais n'excédant pas 21,9 % vol : D'un titre alcoométrique volumique n'excédant pas 14,9 % vol"
2206.00.62,"Autres boissons fermentées (cidre, poiré, hydromel, saké, par exemple); mélanges de boissons fermentées et mélanges de boissons fermentées et de boissons non alcooliques, non dénommés ni compris ailleurs.","Saké et autres vins, non mousseux, d'un titre alcoométrique volumique excédant 13,7 % vol mais n'excédant pas 21,9 % vol : D'un titre alcoométrique volumique excédant 14,9 % vol mais n'excédant pas 15,9 % vol"
2206.00.63,"Autres boissons fermentées (cidre, poiré, hydromel, saké, par exemple); mélanges de boissons fermentées et mélanges de boissons fermentées et de boissons non alcooliques, non dénommés ni compris ailleurs.","Saké et autres vins, non mousseux, d'un titre alcoométrique volumique excédant 13,7 % vol mais n'excédant pas 21,9 % vol : D'un titre alcoométrique volumique excédant 15,9 % vol mais n'excédant pas 16,9 % vol"
2206.00.64,"Autres boissons fermentées (cidre, poiré, hydromel, saké, par exemple); mélanges de boissons fermentées et mélanges de boissons fermentées et de boissons non alcooliques, non dénommés ni compris ailleurs.","Saké et autres vins, non mousseux, d'un titre alcoométrique volumique excédant 13,7 % vol mais n'excédant pas 21,9 % vol : D'un titre alcoométrique volumique excédant 16,9 % vol mais n'excédant pas 17,9 % vol"
2206.00.65,"Autres boissons fermentées (cidre, poiré, hydromel, saké, par exemple); mélanges de boissons fermentées et mélanges de boissons fermentées et de boissons non alcooliques, non dénommés ni compris ailleurs.","Saké et autres vins, non mousseux, d'un titre alcoométrique volumique excédant 13,7 % vol mais n'excédant pas 21,9 % vol : D'un titre alcoométrique volumique excédant 17,9 % vol mais n'excédant pas 18,9 % vol"
2206.00.66,"Autres boissons fermentées (cidre, poiré, hydromel, saké, par exemple); mélanges de boissons fermentées et mélanges de boissons fermentées et de boissons non alcooliques, non dénommés ni compris ailleurs.","Saké et autres vins, non mousseux, d'un titre alcoométrique volumique excédant 13,7 % vol mais n'excédant pas 21,9 % vol : D'un titre alcoométrique volumique excédant 18,9 % vol mais n'excédant pas 19,9 % vol"
2206.00.67,"Autres boissons fermentées (cidre, poiré, hydromel, saké, par exemple); mélanges de boissons fermentées et mélanges de boissons fermentées et de boissons non alcooliques, non dénommés ni compris ailleurs.","Saké et autres vins, non mousseux, d'un titre alcoométrique volumique excédant 13,7 % vol mais n'excédant pas 21,9 % vol : D'un titre alcoométrique volumique excédant 19,9 % vol mais n'excédant pas 20,9 % vol"
2206.00.68,"Autres boissons fermentées (cidre, poiré, hydromel, saké, par exemple); mélanges de boissons fermentées et mélanges de boissons fermentées et de boissons non alcooliques, non dénommés ni compris ailleurs.","Saké et autres vins, non mousseux, d'un titre alcoométrique volumique excédant 13,7 % vol mais n'excédant pas 21,9 % vol : D'un titre alcoométrique volumique excédant 20,9 % vol mais n'excédant pas 21,9 % vol"
2206.00.71,"Autres boissons fermentées (cidre, poiré, hydromel, saké, par exemple); mélanges de boissons fermentées et mélanges de boissons fermentées et de boissons non alcooliques, non dénommés ni compris ailleurs.","Saké et autres vins, non mousseux, d'un titre alcoométrique volumique excédant 21,9 % vol : D'un titre alcoométrique volumique n'excédant pas 22,9 % vol"
2206.00.72,"Autres boissons fermentées (cidre, poiré, hydromel, saké, par exemple); mélanges de boissons fermentées et mélanges de boissons fermentées et de boissons non alcooliques, non dénommés ni compris ailleurs.","Saké et autres vins, non mousseux, d'un titre alcoométrique volumique excédant 21,9 % vol : D'un titre alcoométrique volumique excédant 22,9 % vol"
2206.00.80,"Autres boissons fermentées (cidre, poiré, hydromel, saké, par exemple); mélanges de boissons fermentées et mélanges de boissons fermentées et de boissons non alcooliques, non dénommés ni compris ailleurs.",Bière de gingembre et bière d'herbes
2206.00.91,"Autres boissons fermentées (cidre, poiré, hydromel, saké, par exemple); mélanges de boissons fermentées et mélanges de boissons fermentées et de boissons non alcooliques, non dénommés ni compris ailleurs.",Autres : Hydromel
2206.00.92,"Autres boissons fermentées (cidre, poiré, hydromel, saké, par exemple); mélanges de boissons fermentées et mélanges de boissons fermentées et de boissons non alcooliques, non dénommés ni compris ailleurs.","Autres : Autres, d'un titre alcoométrique volumique n'excédant pas 22,9 % vol"
2206.00.93,"Autres boissons fermentées (cidre, poiré, hydromel, saké, par exemple); mélanges de boissons fermentées et mélanges de boissons fermentées et de boissons non alcooliques, non dénommés ni compris ailleurs.","Autres : Autres, d'un titre alcoométrique volumique excédant 22,9 % vol"
2208.20.00,"Alcool éthylique non dénaturé d'un titre alcoométrique volumique de moins de 80 % vol; eaux-de-vie, liqueurs et autres boissons spiritueuses.",Eaux-de-vie de vin ou de marc de raisin
2208.30.00,"Alcool éthylique non dénaturé d'un titre alcoométrique volumique de moins de 80 % vol; eaux-de-vie, liqueurs et autres boissons spiritueuses.",Whiskies
2208.40.10,"Alcool éthylique non dénaturé d'un titre alcoométrique volumique de moins de 80 % vol; eaux-de-vie, liqueurs et autres boissons spiritueuses.","Rhum et autres eaux-de-vie provenant de la distillation, après fermentation, de produits de cannes à sucreRhum"
2208.40.90,"Alcool éthylique non dénaturé d'un titre alcoométrique volumique de moins de 80 % vol; eaux-de-vie, liqueurs et autres boissons spiritueuses.","Rhum et autres eaux-de-vie provenant de la distillation, après fermentation, de produits de cannes à sucreAutres"
2208.50.00,"Alcool éthylique non dénaturé d'un titre alcoométrique volumique de moins de 80 % vol; eaux-de-vie, liqueurs et autres boissons spiritueuses.",Gin et genièvre
2208.60.00,"Alcool éthylique non dénaturé d'un titre alcoométrique volumique de moins de 80 % vol; eaux-de-vie, liqueurs et autres boissons spiritueuses.",Vodka
2208.70.00,"Alcool éthylique non dénaturé d'un titre alcoométrique volumique de moins de 80 % vol; eaux-de-vie, liqueurs et autres boissons spiritueuses.",Liqueurs
2208.90.10,"Alcool éthylique non dénaturé d'un titre alcoométrique volumique de moins de 80 % vol; eaux-de-vie, liqueurs et autres boissons spiritueuses.",AutresTequila
2208.90.21,"Alcool éthylique non dénaturé d'un titre alcoométrique volumique de moins de 80 % vol; eaux-de-vie, liqueurs et autres boissons spiritueuses.",AutresAlcool éthylique non dénaturé : Devant être employé comme spiritueux ou breuvage alcoolique ou devant servir à la fabrication de spiritueux ou de breuvages alcooliques
2208.90.29,"Alcool éthylique non dénaturé d'un titre alcoométrique volumique de moins de 80 % vol; eaux-de-vie, liqueurs et autres boissons spiritueuses.",AutresAlcool éthylique non dénaturé : Autres
2208.90.30,"Alcool éthylique non dénaturé d'un titre alcoométrique volumique de moins de 80 % vol; eaux-de-vie, liqueurs et autres boissons spiritueuses.",AutresAmers d'angusture
2208.90.41,"Alcool éthylique non dénaturé d'un titre alcoométrique volumique de moins de 80 % vol; eaux-de-vie, liqueurs et autres boissons spiritueuses.","AutresSucs de fruits spiritueux d'un titre alcoolmétrique volumique n'excédant pas 14,3 % vol : Emballés, d'un titre alcoométrique volumique n'excédant pas 7 % vol"
2208.90.49,"Alcool éthylique non dénaturé d'un titre alcoométrique volumique de moins de 80 % vol; eaux-de-vie, liqueurs et autres boissons spiritueuses.","AutresSucs de fruits spiritueux d'un titre alcoolmétrique volumique n'excédant pas 14,3 % vol : Autres"
2208.90.92,"Alcool éthylique non dénaturé d'un titre alcoométrique volumique de moins de 80 % vol; eaux-de-vie, liqueurs et autres boissons spiritueuses.",AutresAutres : Brandies de fruits
2208.90.98,"Alcool éthylique non dénaturé d'un titre alcoométrique volumique de moins de 80 % vol; eaux-de-vie, liqueurs et autres boissons spiritueuses.","AutresAutres : Autres, emballés, d'un titre alcoométrique volumique n'excédant pas 7 % vol"
2208.90.99,"Alcool éthylique non dénaturé d'un titre alcoométrique volumique de moins de 80 % vol; eaux-de-vie, liqueurs et autres boissons spiritueuses.",AutresAutres : Autres
2309.90.32,Préparations des types utilisés pour l'alimentation des animaux.,"AutresAliments complets et compléments alimentaire, y compris les concentrés : Contenant à l'état sec 50 % ou plus de solides de lait sans gras en poids, au-dessus de l'engagement d'accès"
2401.10.10,Tabacs bruts ou non fabriqués; déchets de tabac.,Tabacs non écôtésPour être employés comme capes à la fabrication de cigares
2401.10.91,Tabacs bruts ou non fabriqués; déchets de tabac.,Tabacs non écôtésAutres : Du type turc
2401.10.99,Tabacs bruts ou non fabriqués; déchets de tabac.,Tabacs non écôtésAutres : Autres
2401.20.10,Tabacs bruts ou non fabriqués; déchets de tabac.,Tabacs partiellement ou totalement écôtésCapes de tabacs devant servir à la fabrication de cigares
2401.20.90,Tabacs bruts ou non fabriqués; déchets de tabac.,Tabacs partiellement ou totalement écôtésAutres
2401.30.00,Tabacs bruts ou non fabriqués; déchets de tabac.,Déchets de tabac
2402.10.00,"Cigares (y compris ceux à bouts coupés), cigarillos et cigarettes, en tabac ou en succédanés de tabac.","Cigares (y compris ceux à bouts coupés) et cigarillos, contenant du tabac"
2402.20.00,"Cigares (y compris ceux à bouts coupés), cigarillos et cigarettes, en tabac ou en succédanés de tabac.",Cigarettes contenant du tabac
2402.90.00,"Cigares (y compris ceux à bouts coupés), cigarillos et cigarettes, en tabac ou en succédanés de tabac.",Autres
2403.11.00,"Autres tabacs et succédanés de tabac, fabriqués; tabacs « homogénéisés » ou « reconstitués »; extraits et sauces de tabac.","Tabac à fumer, même contenant des succédanés de tabac en toute proportion : Tabac pour pipe à eau visé à la Note 1 de sous-positions du présent Chapitre"
2403.19.00,"Autres tabacs et succédanés de tabac, fabriqués; tabacs « homogénéisés » ou « reconstitués »; extraits et sauces de tabac.","Tabac à fumer, même contenant des succédanés de tabac en toute proportion : Autres"
2403.91.10,"Autres tabacs et succédanés de tabac, fabriqués; tabacs « homogénéisés » ou « reconstitués »; extraits et sauces de tabac.",Autres : Tabacs « homogénéisés » ou « reconstitués »Du type utilisé comme tabac de cape
2403.91.20,"Autres tabacs et succédanés de tabac, fabriqués; tabacs « homogénéisés » ou « reconstitués »; extraits et sauces de tabac.",Autres : Tabacs « homogénéisés » ou « reconstitués »Feuilles de tabac transformées du type utilisé comme liant de cigares
2403.91.90,"Autres tabacs et succédanés de tabac, fabriqués; tabacs « homogénéisés » ou « reconstitués »; extraits et sauces de tabac.",Autres : Tabacs « homogénéisés » ou « reconstitués »Autres
2403.99.10,"Autres tabacs et succédanés de tabac, fabriqués; tabacs « homogénéisés » ou « reconstitués »; extraits et sauces de tabac.",Autres : AutresTabac à priser
2403.99.20,"Autres tabacs et succédanés de tabac, fabriqués; tabacs « homogénéisés » ou « reconstitués »; extraits et sauces de tabac.",Autres : AutresSuccédanés de tabac fabriqués ne contenant pas de tabac
2403.99.90,"Autres tabacs et succédanés de tabac, fabriqués; tabacs « homogénéisés » ou « reconstitués »; extraits et sauces de tabac.",Autres : AutresAutres
2404.11.10,"Produits contenant du tabac, du tabac reconstitué, de la nicotine ou des succédanés de tabac ou de nicotine, destinés à une inhalation sans combustion; autres produits contenant de la nicotine, destinés à l'absorption de la nicotine dans le corps humain.",Produits destinés à une inhalation sans combustion : Contenant du tabac ou du tabac reconstituéContenant du tabac homogénéise ou reconstitué
2404.11.90,"Produits contenant du tabac, du tabac reconstitué, de la nicotine ou des succédanés de tabac ou de nicotine, destinés à une inhalation sans combustion; autres produits contenant de la nicotine, destinés à l'absorption de la nicotine dans le corps humain.",Produits destinés à une inhalation sans combustion : Contenant du tabac ou du tabac reconstituéAutres du tabac
2404.12.00,"Produits contenant du tabac, du tabac reconstitué, de la nicotine ou des succédanés de tabac ou de nicotine, destinés à une inhalation sans combustion; autres produits contenant de la nicotine, destinés à l'absorption de la nicotine dans le corps humain.","Produits destinés à une inhalation sans combustion : Autres, contenant de la nicotineAutres, contenant de la nicotine"
2404.19.00,"Produits contenant du tabac, du tabac reconstitué, de la nicotine ou des succédanés de tabac ou de nicotine, destinés à une inhalation sans combustion; autres produits contenant de la nicotine, destinés à l'absorption de la nicotine dans le corps humain.",Produits destinés à une inhalation sans combustion : AutresAutres
2404.91.00,"Produits contenant du tabac, du tabac reconstitué, de la nicotine ou des succédanés de tabac ou de nicotine, destinés à une inhalation sans combustion; autres produits contenant de la nicotine, destinés à l'absorption de la nicotine dans le corps humain.",Autres : Pour une application orale
2404.92.00,"Produits contenant du tabac, du tabac reconstitué, de la nicotine ou des succédanés de tabac ou de nicotine, destinés à une inhalation sans combustion; autres produits contenant de la nicotine, destinés à l'absorption de la nicotine dans le corps humain.",Autres : Pour une application percutanée
2404.99.00,"Produits contenant du tabac, du tabac reconstitué, de la nicotine ou des succédanés de tabac ou de nicotine, destinés à une inhalation sans combustion; autres produits contenant de la nicotine, destinés à l'absorption de la nicotine dans le corps humain.",Autres : AutresAutres
