Tariff Item,Harmonized System (HS) Heading,Indicative Description
4412.92.00,"Plywood, veneered panels and similar laminated wood.","Other: Other, with at least one outer ply of non-coniferous wood"
4412.99.00,"Plywood, veneered panels and similar laminated wood.","Other: Other, with both outer plies of coniferous wood"
4418.11.10,"Builders' joinery and carpentry of wood, including cellular wood panels, assembled flooring panels, shingles and shakes.","Windows, French-windows and their frames: Of tropical woodWindow frames"
4418.11.90,"Builders' joinery and carpentry of wood, including cellular wood panels, assembled flooring panels, shingles and shakes.","Windows, French-windows and their frames: Of tropical woodOther"
4418.19.10,"Builders' joinery and carpentry of wood, including cellular wood panels, assembled flooring panels, shingles and shakes.","Windows, French-windows and their frames: OtherWindow frames"
4418.19.90,"Builders' joinery and carpentry of wood, including cellular wood panels, assembled flooring panels, shingles and shakes.","Windows, French-windows and their frames: OtherOther"
4418.21.00,"Builders' joinery and carpentry of wood, including cellular wood panels, assembled flooring panels, shingles and shakes.",Doors and their frames and thresholds: Of tropical wood
4418.29.00,"Builders' joinery and carpentry of wood, including cellular wood panels, assembled flooring panels, shingles and shakes.",Doors and their frames and thresholds: Other
4418.30.00,"Builders' joinery and carpentry of wood, including cellular wood panels, assembled flooring panels, shingles and shakes.",Posts and beams other than products of subheadings 4418.81 to 4418.89
4418.40.00,"Builders' joinery and carpentry of wood, including cellular wood panels, assembled flooring panels, shingles and shakes.",Shuttering for concrete constructional work
4418.50.00,"Builders' joinery and carpentry of wood, including cellular wood panels, assembled flooring panels, shingles and shakes.",Shingles and shakes
4418.73.00,"Builders' joinery and carpentry of wood, including cellular wood panels, assembled flooring panels, shingles and shakes.",Assembled flooring panels: Of bamboo or with at least the top layer (wear layer) of bamboo
4418.74.00,"Builders' joinery and carpentry of wood, including cellular wood panels, assembled flooring panels, shingles and shakes.","Assembled flooring panels: Other, for mosaic floors"
4418.75.00,"Builders' joinery and carpentry of wood, including cellular wood panels, assembled flooring panels, shingles and shakes.","Assembled flooring panels: Other, multilayer"
4418.79.00,"Builders' joinery and carpentry of wood, including cellular wood panels, assembled flooring panels, shingles and shakes.",Assembled flooring panels: Other
4418.81.00,"Builders' joinery and carpentry of wood, including cellular wood panels, assembled flooring panels, shingles and shakes.",Engineered structural timber products: Glue-laminated timber (glulam)
4418.82.00,"Builders' joinery and carpentry of wood, including cellular wood panels, assembled flooring panels, shingles and shakes.",Engineered structural timber products: Cross-laminated timber (CLT or X-lam)
4418.83.00,"Builders' joinery and carpentry of wood, including cellular wood panels, assembled flooring panels, shingles and shakes.",Engineered structural timber products: I beams
4418.89.00,"Builders' joinery and carpentry of wood, including cellular wood panels, assembled flooring panels, shingles and shakes.",Engineered structural timber products: Other
4418.91.00,"Builders' joinery and carpentry of wood, including cellular wood panels, assembled flooring panels, shingles and shakes.",Other: Of bamboo
4418.92.00,"Builders' joinery and carpentry of wood, including cellular wood panels, assembled flooring panels, shingles and shakes.",Other: Cellular wood panels
4418.99.00,"Builders' joinery and carpentry of wood, including cellular wood panels, assembled flooring panels, shingles and shakes.",Other: Other
4701.00.00,Mechanical wood pulp.,
4702.00.00,"Chemical wood pulp, dissolving grades.",
4817.10.00,"Envelopes, letter cards, plain postcards and correspondence cards, of paper or paperboard; boxes, pouches, wallets and writing compendiums, of paper or paperboard, containing an assortment of paper stationery.",Envelopes
4818.10.00,"Toilet paper and similar paper, cellulose wadding or webs of cellulose fibres, of a kind used for household or sanitary purposes, in rolls of a width not exceeding 36 cm, or cut to size or shape; handkerchiefs, cleansing tissues, towels, tablecloths, serviettes, bed sheets and similar household, sanitary or hospital articles, articles of apparel and clothing accessories, of paper pulp, paper, cellulose wadding or webs of cellulose fibres.",Toilet paper
4818.20.00,"Toilet paper and similar paper, cellulose wadding or webs of cellulose fibres, of a kind used for household or sanitary purposes, in rolls of a width not exceeding 36 cm, or cut to size or shape; handkerchiefs, cleansing tissues, towels, tablecloths, serviettes, bed sheets and similar household, sanitary or hospital articles, articles of apparel and clothing accessories, of paper pulp, paper, cellulose wadding or webs of cellulose fibres.","Handkerchiefs, cleansing or facial tissues and towels"
4818.30.00,"Toilet paper and similar paper, cellulose wadding or webs of cellulose fibres, of a kind used for household or sanitary purposes, in rolls of a width not exceeding 36 cm, or cut to size or shape; handkerchiefs, cleansing tissues, towels, tablecloths, serviettes, bed sheets and similar household, sanitary or hospital articles, articles of apparel and clothing accessories, of paper pulp, paper, cellulose wadding or webs of cellulose fibres.",Tablecloths and serviettes
4818.90.00,"Toilet paper and similar paper, cellulose wadding or webs of cellulose fibres, of a kind used for household or sanitary purposes, in rolls of a width not exceeding 36 cm, or cut to size or shape; handkerchiefs, cleansing tissues, towels, tablecloths, serviettes, bed sheets and similar household, sanitary or hospital articles, articles of apparel and clothing accessories, of paper pulp, paper, cellulose wadding or webs of cellulose fibres.",Other
4819.10.00,"Cartons, boxes, cases, bags and other packing containers, of paper, paperboard, cellulose wadding or webs of cellulose fibres; box files, letter trays, and similar articles, of paper or paperboard of a kind used in offices, shops or the like.","Cartons, boxes and cases, of corrugated paper or paperboard"
4819.20.00,"Cartons, boxes, cases, bags and other packing containers, of paper, paperboard, cellulose wadding or webs of cellulose fibres; box files, letter trays, and similar articles, of paper or paperboard of a kind used in offices, shops or the like.","Folding cartons, boxes and cases, of non-corrugated paper or paperboard"
4819.30.00,"Cartons, boxes, cases, bags and other packing containers, of paper, paperboard, cellulose wadding or webs of cellulose fibres; box files, letter trays, and similar articles, of paper or paperboard of a kind used in offices, shops or the like.","Sacks and bags, having a base of a width of 40 cm or more"
4819.40.00,"Cartons, boxes, cases, bags and other packing containers, of paper, paperboard, cellulose wadding or webs of cellulose fibres; box files, letter trays, and similar articles, of paper or paperboard of a kind used in offices, shops or the like.","Other sacks and bags, including cones"
4820.10.00,"Registers, account books, note books, order books, receipt books, letter pads, memorandum pads, diaries and similar articles, exercise books, blotting-pads, binders (loose-leaf or other), folders, file covers, manifold business forms, interleaved carbon sets and other articles of stationery, of paper or paperboard; albums for samples or for collections and book covers, of paper or paperboard.","Registers, account books, note books, order books, receipt books, letter pads, memorandum pads, diaries and similar articles"
4820.20.00,"Registers, account books, note books, order books, receipt books, letter pads, memorandum pads, diaries and similar articles, exercise books, blotting-pads, binders (loose-leaf or other), folders, file covers, manifold business forms, interleaved carbon sets and other articles of stationery, of paper or paperboard; albums for samples or for collections and book covers, of paper or paperboard.",Exercise books
4820.30.00,"Registers, account books, note books, order books, receipt books, letter pads, memorandum pads, diaries and similar articles, exercise books, blotting-pads, binders (loose-leaf or other), folders, file covers, manifold business forms, interleaved carbon sets and other articles of stationery, of paper or paperboard; albums for samples or for collections and book covers, of paper or paperboard.","Binders (other than book covers), folders and file covers"
4820.40.00,"Registers, account books, note books, order books, receipt books, letter pads, memorandum pads, diaries and similar articles, exercise books, blotting-pads, binders (loose-leaf or other), folders, file covers, manifold business forms, interleaved carbon sets and other articles of stationery, of paper or paperboard; albums for samples or for collections and book covers, of paper or paperboard.",Manifold business forms and interleaved carbon sets
4820.50.00,"Registers, account books, note books, order books, receipt books, letter pads, memorandum pads, diaries and similar articles, exercise books, blotting-pads, binders (loose-leaf or other), folders, file covers, manifold business forms, interleaved carbon sets and other articles of stationery, of paper or paperboard; albums for samples or for collections and book covers, of paper or paperboard.",Albums for samples or for collections
4820.90.00,"Registers, account books, note books, order books, receipt books, letter pads, memorandum pads, diaries and similar articles, exercise books, blotting-pads, binders (loose-leaf or other), folders, file covers, manifold business forms, interleaved carbon sets and other articles of stationery, of paper or paperboard; albums for samples or for collections and book covers, of paper or paperboard.",Other
4823.69.00,"Other paper, paperboard, cellulose wadding and webs of cellulose fibres, cut to size or shape; other articles of paper pulp, paper, paperboard, cellulose wadding or webs of cellulose fibres.","Trays, dishes, plates, cups and the like, of paper or paperboard: Other"
4911.10.00,"Other printed matter, including printed pictures and photographs.","Trade advertising material, commercial catalogues and the like"
4911.91.00,"Other printed matter, including printed pictures and photographs.","Other: Pictures, designs and photographs"
4911.99.00,"Other printed matter, including printed pictures and photographs.",Other: Other
5701.10.10,"Carpets and other textile floor coverings, knotted, whether or not made up.",Of wool or fine animal hairMachine knotted
5701.10.90,"Carpets and other textile floor coverings, knotted, whether or not made up.",Of wool or fine animal hairOther
5701.90.10,"Carpets and other textile floor coverings, knotted, whether or not made up.",Of other textile materialsMachine knotted
5701.90.90,"Carpets and other textile floor coverings, knotted, whether or not made up.",Of other textile materialsOther
5702.10.00,"Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs.","""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs"
5702.20.00,"Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs.",Floor coverings of coconut fibres (coir)
5702.31.00,"Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs.","Other, of pile construction, not made up: Of wool or fine animal hair"
5702.32.00,"Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs.","Other, of pile construction, not made up: Of man-made textile materials"
5702.39.00,"Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs.","Other, of pile construction, not made up: Of other textile materials"
5702.41.00,"Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs.","Other, of pile construction, made up: Of wool or fine animal hair"
5702.42.00,"Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs.","Other, of pile construction, made up: Of man-made textile materials"
5702.49.00,"Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs.","Other, of pile construction, made up: Of other textile materials"
5702.50.10,"Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs.","Other, not of pile construction, not made upOf straw, hemp, flax tow or jute"
5702.50.90,"Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs.","Other, not of pile construction, not made upOther"
5702.91.00,"Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs.","Other, not of pile construction, made up: Of wool or fine animal hair"
5702.92.00,"Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs.","Other, not of pile construction, made up: Of man-made textile materials"
5702.99.10,"Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs.","Other, not of pile construction, made up: Of other textile materialsOf straw, hemp, flax tow or jute"
5702.99.90,"Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs.","Other, not of pile construction, made up: Of other textile materialsOther"
5703.10.10,"Carpets and other textile floor coverings (including turf), tufted, whether or not made up.",Of wool or fine animal hairMachine tufted
5703.10.90,"Carpets and other textile floor coverings (including turf), tufted, whether or not made up.",Of wool or fine animal hairOther
5703.21.00,"Carpets and other textile floor coverings (including turf), tufted, whether or not made up.",Of nylon or other polyamides: Turf
5703.29.90,"Carpets and other textile floor coverings (including turf), tufted, whether or not made up.",Of nylon or other polyamides: OtherOther
5703.31.00,"Carpets and other textile floor coverings (including turf), tufted, whether or not made up.",Of other man-made textile materials: Turf
5703.39.10,"Carpets and other textile floor coverings (including turf), tufted, whether or not made up.",Of other man-made textile materials: OtherMachine tufted
5703.39.90,"Carpets and other textile floor coverings (including turf), tufted, whether or not made up.",Of other man-made textile materials: OtherOther
5703.90.10,"Carpets and other textile floor coverings (including turf), tufted, whether or not made up.",Of other textile materialsMachine tufted
5703.90.90,"Carpets and other textile floor coverings (including turf), tufted, whether or not made up.",Of other textile materialsOther
5704.10.00,"Carpets and other textile floor coverings, of felt, not tufted or flocked, whether or not made up.","Tiles, having a maximum surface area of 0.3 m2"
5704.20.00,"Carpets and other textile floor coverings, of felt, not tufted or flocked, whether or not made up.","Tiles, having a maximum surface area exceeding 0.3 m2 but not exceeding 1 m2"
5705.00.00,"Other carpets and other textile floor coverings, whether or not made up.",
6101.20.00,"Men's or boys' overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, knitted or crocheted, other than those of heading 61.03.",Of cotton
6101.30.00,"Men's or boys' overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, knitted or crocheted, other than those of heading 61.03.",Of man-made fibres
6101.90.00,"Men's or boys' overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, knitted or crocheted, other than those of heading 61.03.",Of other textile materials
6102.10.00,"Women's or girls' overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, knitted or crocheted, other than those of heading 61.04.",Of wool or fine animal hair
6102.20.00,"Women's or girls' overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, knitted or crocheted, other than those of heading 61.04.",Of cotton
6102.30.00,"Women's or girls' overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, knitted or crocheted, other than those of heading 61.04.",Of man-made fibres
6102.90.00,"Women's or girls' overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, knitted or crocheted, other than those of heading 61.04.",Of other textile materials
6103.10.10,"Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.",SuitsOf wool or fine animal hair
6103.10.90,"Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.",SuitsOther
6103.22.00,"Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.",Ensembles: Of cotton
6103.23.00,"Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.",Ensembles: Of synthetic fibres
6103.29.00,"Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.",Ensembles: Of other textile materials
6103.31.00,"Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.",Jackets and blazers: Of wool or fine animal hair
6103.32.00,"Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.",Jackets and blazers: Of cotton
6103.33.00,"Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.",Jackets and blazers: Of synthetic fibres
6103.39.10,"Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.",Jackets and blazers: Of other textile materialsOf artificial fibres
6103.39.90,"Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.",Jackets and blazers: Of other textile materialsOther
6103.41.00,"Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.","Trousers, bib and brace overalls, breeches and shorts: Of wool or fine animal hair"
6103.42.00,"Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.","Trousers, bib and brace overalls, breeches and shorts: Of cotton"
6103.43.00,"Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.","Trousers, bib and brace overalls, breeches and shorts: Of synthetic fibres"
6103.49.00,"Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.","Trousers, bib and brace overalls, breeches and shorts: Of other textile materials"
6104.13.00,"Women's or girls' suits, ensembles, jackets and blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.",Suits: Of synthetic fibres
6104.19.00,"Women's or girls' suits, ensembles, jackets and blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.",Suits: Of other textile materials
6104.22.00,"Women's or girls' suits, ensembles, jackets and blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.",Ensembles: Of cotton
6104.23.00,"Women's or girls' suits, ensembles, jackets and blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.",Ensembles: Of synthetic fibres
6104.29.00,"Women's or girls' suits, ensembles, jackets and blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.",Ensembles: Of other textile materials
6104.31.00,"Women's or girls' suits, ensembles, jackets and blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.",Jackets and blazers: Of wool or fine animal hair
6104.32.00,"Women's or girls' suits, ensembles, jackets and blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.",Jackets and blazers: Of cotton
6104.33.00,"Women's or girls' suits, ensembles, jackets and blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.",Jackets and blazers: Of synthetic fibres
6104.39.10,"Women's or girls' suits, ensembles, jackets and blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.",Jackets and blazers: Of other textile materialsOf artificial fibres
6104.39.90,"Women's or girls' suits, ensembles, jackets and blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.",Jackets and blazers: Of other textile materialsOther
6104.41.00,"Women's or girls' suits, ensembles, jackets and blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.",Dresses: Of wool or fine animal hair
6104.42.00,"Women's or girls' suits, ensembles, jackets and blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.",Dresses: Of cotton
6104.43.00,"Women's or girls' suits, ensembles, jackets and blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.",Dresses: Of synthetic fibres
6104.44.00,"Women's or girls' suits, ensembles, jackets and blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.",Dresses: Of artificial fibres
6104.49.00,"Women's or girls' suits, ensembles, jackets and blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.",Dresses: Of other textile materials
6104.51.00,"Women's or girls' suits, ensembles, jackets and blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.",Skirts and divided skirts: Of wool or fine animal hair
6104.52.00,"Women's or girls' suits, ensembles, jackets and blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.",Skirts and divided skirts: Of cotton
6104.53.00,"Women's or girls' suits, ensembles, jackets and blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.",Skirts and divided skirts: Of synthetic fibres
6104.59.10,"Women's or girls' suits, ensembles, jackets and blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.",Skirts and divided skirts: Of other textile materialsOf artificial fibres
6104.59.90,"Women's or girls' suits, ensembles, jackets and blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.",Skirts and divided skirts: Of other textile materialsOther
6104.61.00,"Women's or girls' suits, ensembles, jackets and blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.","Trousers, bib and brace overalls, breeches and shorts: Of wool or fine animal hair"
6104.62.00,"Women's or girls' suits, ensembles, jackets and blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.","Trousers, bib and brace overalls, breeches and shorts: Of cotton"
6104.63.00,"Women's or girls' suits, ensembles, jackets and blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.","Trousers, bib and brace overalls, breeches and shorts: Of synthetic fibres"
6104.69.00,"Women's or girls' suits, ensembles, jackets and blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.","Trousers, bib and brace overalls, breeches and shorts: Of other textile materials"
6105.10.00,"Men's or boys' shirts, knitted or crocheted.",Of cotton
6105.20.00,"Men's or boys' shirts, knitted or crocheted.",Of man-made fibres
6105.90.00,"Men's or boys' shirts, knitted or crocheted.",Of other textile materials
6106.10.00,"Women's or girls' blouses, shirts and shirt-blouses, knitted or crocheted.",Of cotton
6106.20.00,"Women's or girls' blouses, shirts and shirt-blouses, knitted or crocheted.",Of man-made fibres
6106.90.00,"Women's or girls' blouses, shirts and shirt-blouses, knitted or crocheted.",Of other textile materials
6107.11.00,"Men's or boys' underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles, knitted or crocheted.",Underpants and briefs: Of cotton
6107.12.00,"Men's or boys' underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles, knitted or crocheted.",Underpants and briefs: Of man-made fibres
6107.19.00,"Men's or boys' underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles, knitted or crocheted.",Underpants and briefs: Of other textile materials
6107.21.00,"Men's or boys' underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles, knitted or crocheted.",Nightshirts and pyjamas: Of cotton
6107.22.00,"Men's or boys' underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles, knitted or crocheted.",Nightshirts and pyjamas: Of man-made fibres
6107.29.00,"Men's or boys' underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles, knitted or crocheted.",Nightshirts and pyjamas: Of other textile materials
6107.91.00,"Men's or boys' underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles, knitted or crocheted.",Other: Of cotton
6107.99.00,"Men's or boys' underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles, knitted or crocheted.",Other: Of other textile materials
6108.11.00,"Women's or girls' slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés, bathrobes, dressing gowns and similar articles, knitted or crocheted.",Slips and petticoats: Of man-made fibres
6108.19.00,"Women's or girls' slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés, bathrobes, dressing gowns and similar articles, knitted or crocheted.",Slips and petticoats: Of other textile materials
6108.21.00,"Women's or girls' slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés, bathrobes, dressing gowns and similar articles, knitted or crocheted.",Briefs and panties: Of cotton
6108.22.00,"Women's or girls' slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés, bathrobes, dressing gowns and similar articles, knitted or crocheted.",Briefs and panties: Of man-made fibres
6108.29.00,"Women's or girls' slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés, bathrobes, dressing gowns and similar articles, knitted or crocheted.",Briefs and panties: Of other textile materials
6108.31.00,"Women's or girls' slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés, bathrobes, dressing gowns and similar articles, knitted or crocheted.",Nightdresses and pyjamas: Of cotton
6108.32.00,"Women's or girls' slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés, bathrobes, dressing gowns and similar articles, knitted or crocheted.",Nightdresses and pyjamas: Of man-made fibres
6108.39.00,"Women's or girls' slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés, bathrobes, dressing gowns and similar articles, knitted or crocheted.",Nightdresses and pyjamas: Of other textile materials
6108.91.00,"Women's or girls' slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés, bathrobes, dressing gowns and similar articles, knitted or crocheted.",Other: Of cotton
6108.92.00,"Women's or girls' slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés, bathrobes, dressing gowns and similar articles, knitted or crocheted.",Other: Of man-made fibres
6108.99.00,"Women's or girls' slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés, bathrobes, dressing gowns and similar articles, knitted or crocheted.",Other: Of other textile materials
6109.10.00,"T-shirts, singlets and other vests, knitted or crocheted.",Of cotton
6109.90.00,"T-shirts, singlets and other vests, knitted or crocheted.",Of other textile materials
6110.11.10,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted.","Of wool or fine animal hair: Of woolWomen's or girls', valued at not less than $20/kg"
6110.11.90,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted.",Of wool or fine animal hair: Of woolOther
6110.12.10,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted.","Of wool or fine animal hair: Of Kashmir (cashmere) goatsWomen's or girls', valued at not less than $20/kg"
6110.12.90,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted.",Of wool or fine animal hair: Of Kashmir (cashmere) goatsOther
6110.19.10,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted.","Of wool or fine animal hair: OtherWomen's or girls', valued at not less than $20/kg"
6110.19.90,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted.",Of wool or fine animal hair: OtherOther
6110.20.00,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted.",Of cotton
6110.30.00,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted.",Of man-made fibres
6110.90.00,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted.",Of other textile materials
6111.20.00,"Babies' garments and clothing accessories, knitted or crocheted.",Of cotton
6111.30.00,"Babies' garments and clothing accessories, knitted or crocheted.",Of synthetic fibres
6111.90.00,"Babies' garments and clothing accessories, knitted or crocheted.",Of other textile materials
6112.11.00,"Track suits, ski suits and swimwear, knitted or crocheted.",Track suits: Of cotton
6112.12.00,"Track suits, ski suits and swimwear, knitted or crocheted.",Track suits: Of synthetic fibres
6112.19.00,"Track suits, ski suits and swimwear, knitted or crocheted.",Track suits: Of other textile materials
6112.20.00,"Track suits, ski suits and swimwear, knitted or crocheted.",Ski suits
6112.31.00,"Track suits, ski suits and swimwear, knitted or crocheted.",Men's or boys' swimwear: Of synthetic fibres
6112.39.00,"Track suits, ski suits and swimwear, knitted or crocheted.",Men's or boys' swimwear: Of other textile materials
6112.41.00,"Track suits, ski suits and swimwear, knitted or crocheted.",Women's or girls' swimwear: Of synthetic fibres
6112.49.00,"Track suits, ski suits and swimwear, knitted or crocheted.",Women's or girls' swimwear: Of other textile materials
6113.00.10,"Garments, made up of knitted or crocheted fabrics of heading 59.03, 59.06 or 59.07.","Protective suits, to be employed in a noxious atmosphere"
